ref_area.label,sex.label,classif1.label,classif2.label,time,obs_value
AGO,Total,OC2_ISCO08_52,,2024,2375.287
AGO,Total,OC2_ISCO08_53,,2024,69.81
AGO,Total,OC2_ISCO08_54,,2024,385.141
AGO,Total,OC2_ISCO08_61,,2024,696.587
AGO,Total,OC2_ISCO08_62,,2024,85.564
AGO,Total,OC2_ISCO08_63,,2024,5063.378
AGO,Total,OC2_ISCO08_71,,2024,351.586
AGO,Total,OC2_ISCO08_72,,2024,218.624
AGO,Total,OC2_ISCO08_73,,2024,87.041
AGO,Total,OC2_ISCO08_74,,2024,54.109
AGO,Total,OC2_ISCO08_75,,2024,121.549
AGO,Total,OC2_ISCO08_81,,2024,63.916
AGO,Total,OC2_ISCO08_82,,2024,5.438
AGO,Total,OC2_ISCO08_83,,2024,498.493
AGO,Total,OC2_ISCO08_91,,2024,309.129
AGO,Total,OC2_ISCO08_92,,2024,50.382
AGO,Total,OC2_ISCO08_93,,2024,43.933
AGO,Total,OC2_ISCO08_94,,2024,12.798
AGO,Total,OC2_ISCO08_95,,2024,174.107
AGO,Total,OC2_ISCO08_96,,2024,75.83
AGO,Total,OC2_ISCO08_X,,2024,201.809
AGO,Male,OC2_ISCO08_TOTAL,,2024,6207.083
AGO,Male,OC2_ISCO08_01,,2024,39.454
AGO,Male,OC2_ISCO08_02,,2024,72.986
AGO,Male,OC2_ISCO08_03,,2024,20.458
AGO,Male,OC2_ISCO08_11,,2024,24.792
AGO,Male,OC2_ISCO08_12,,2024,6.742
AGO,Male,OC2_ISCO08_13,,2024,27.593
AGO,Male,OC2_ISCO08_14,,2024,51.275
AGO,Male,OC2_ISCO08_21,,2024,36.089
AGO,Male,OC2_ISCO08_22,,2024,58.37
AGO,Male,OC2_ISCO08_23,,2024,224.464
AGO,Male,OC2_ISCO08_24,,2024,28.863
AGO,Male,OC2_ISCO08_25,,2024,7.441
AGO,Male,OC2_ISCO08_26,,2024,25.49
AGO,Male,OC2_ISCO08_31,,2024,53.391
AGO,Male,OC2_ISCO08_32,,2024,7.91
AGO,Male,OC2_ISCO08_33,,2024,118.973
AGO,Male,OC2_ISCO08_34,,2024,27.22
AGO,Male,OC2_ISCO08_35,,2024,32.582
AGO,Male,OC2_ISCO08_41,,2024,9.508
AGO,Male,OC2_ISCO08_42,,2024,43.708
AGO,Male,OC2_ISCO08_43,,2024,8.344
AGO,Male,OC2_ISCO08_44,,2024,6.833
AGO,Male,OC2_ISCO08_51,,2024,140.855
AGO,Male,OC2_ISCO08_52,,2024,488.545
AGO,Male,OC2_ISCO08_53,,2024,20.987
AGO,Male,OC2_ISCO08_54,,2024,353.888
AGO,Male,OC2_ISCO08_61,,2024,334.541
AGO,Male,OC2_ISCO08_62,,2024,78.069
AGO,Male,OC2_ISCO08_63,,2024,2225.874
AGO,Male,OC2_ISCO08_71,,2024,349.382
AGO,Male,OC2_ISCO08_72,,2024,215.856
AGO,Male,OC2_ISCO08_73,,2024,82.891
AGO,Male,OC2_ISCO08_74,,2024,53.123
AGO,Male,OC2_ISCO08_75,,2024,82.893
AGO,Male,OC2_ISCO08_81,,2024,57.787
AGO,Male,OC2_ISCO08_82,,2024,5.438
AGO,Male,OC2_ISCO08_83,,2024,496.842
AGO,Male,OC2_ISCO08_91,,2024,29.132
AGO,Male,OC2_ISCO08_92,,2024,27.925
AGO,Male,OC2_ISCO08_93,,2024,40.19
